グッズ名,記述,item_code,amazon_link,type_id
耐切創手袋 すべり止め 付 避難用,災害時、自宅の後片付けをする際、ガラスや瓦礫の破片などで怪我をしないよう手を守ってくれます。滑り止めも付いてますので、手に取ったものを落としてしまうという問題も解消されます。,afurodesign:10000006,https://www.amazon.co.jp/%E8%BB%8D%E6%89%8B-%E9%98%B2%E5%88%83-%E6%BB%91%E3%82%8A%E6%AD%A2%E3%82%81-%E9%98%B2%E5%88%83%E6%89%8B%E8%A2%8B-%E5%88%87%E3%82%8C%E3%81%AA%E3%81%84%E6%89%8B%E8%A2%8B/dp/B07TKGNPHD,4
防災セット 地震対策30点避難セット,火や水に強く、汚れにくい素材を使用した非常時持ち出し袋です。防災士が厳選した30種類の防災グッズをセットしています。,pro-bousai:10000008,https://www.amazon.co.jp/%E5%9C%B0%E9%9C%87%E5%AF%BE%E7%AD%9630%E7%82%B9%E9%81%BF%E9%9B%A3%E3%82%BB%E3%83%83%E3%83%88plus-%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%83%E3%83%88-%E9%81%BF%E9%9B%A3%E7%94%9F%E6%B4%BB%E3%81%A7%E5%BF%85%E8%A6%81%E3%81%AA%E9%98%B2%E7%81%BD%E3%82%B0%E3%83%83%E3%82%BA%E3%82%92%E3%82%BB%E3%83%83%E3%83%88%E3%81%97%E3%81%9F%E9%9D%9E%E5%B8%B8%E6%8C%81%E5%87%BA%E8%A2%8B-2%E4%BA%BA%E7%94%A8%E3%82%BB%E3%83%83%E3%83%88-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88/dp/B09X5MJLB4,4
防災セット 地震対策30点避難セット,火や水に強く、汚れにくい素材を使用した非常時持ち出し袋です。防災士が厳選した30種類の防災グッズをセットしています。,pro-bousai:10000008,https://www.amazon.co.jp/%E5%9C%B0%E9%9C%87%E5%AF%BE%E7%AD%9630%E7%82%B9%E9%81%BF%E9%9B%A3%E3%82%BB%E3%83%83%E3%83%88plus-%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%83%E3%83%88-%E9%81%BF%E9%9B%A3%E7%94%9F%E6%B4%BB%E3%81%A7%E5%BF%85%E8%A6%81%E3%81%AA%E9%98%B2%E7%81%BD%E3%82%B0%E3%83%83%E3%82%BA%E3%82%92%E3%82%BB%E3%83%83%E3%83%88%E3%81%97%E3%81%9F%E9%9D%9E%E5%B8%B8%E6%8C%81%E5%87%BA%E8%A2%8B-2%E4%BA%BA%E7%94%A8%E3%82%BB%E3%83%83%E3%83%88-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88/dp/B09X5MJLB4,5
耐震 家具 粘着ゴム ゲル,特殊エラストマー樹脂高粘着ゲルで転落・落下を防止します。貼るだけで簡単に設置していただけます。粘着面が汚れたら、水で洗ってよく乾かすことで再利用できます。,next-online:10000129,https://www.amazon.co.jp/iHouse-all-%E9%9D%99%E9%9F%B3%E3%83%9E%E3%83%83%E3%83%88%E4%B8%A1%E9%9D%A2%E7%B2%98%E7%9D%80-%E9%9C%87%E5%BA%A67%E3%81%BE%E3%81%A7%E5%AF%BE%E5%BF%9C-%E8%80%90%E8%8D%B7%E9%87%8D100kg/dp/B082S3WPMM/ref=sr_1_7?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=AJBCCQ5HPJQ3&keywords=%E8%80%90%E9%9C%87+%E3%82%B2%E3%83%AB+mobilier&qid=1663057048&sprefix=%E8%80%90%E9%9C%87+%E3%82%B2%E3%83%AB+mobilier%2Caps%2C185&sr=8-7,5
簡易トイレ 非常用トイレセット 60回分,凝固剤60包と汚物袋（黒ビニール袋）60枚をコンパクトに詰めた非常用簡易トイレセットです。省スペースで吸水性も高く、15年間半永久保存可能です。,advancedselect:10000200,,5
防災 ラクシ―シンプル 投げる消火器,火元の床や壁に投げつけるだけで手軽に火災を瞬時に消化できます。必要以上に火に近づかなくてもいいので、お子様や女性、高齢者の方にも簡単に消化が可能になります。,azuazu:10001121,https://www.amazon.co.jp/%E6%97%A5%E6%9C%AC%E3%83%95%E3%82%A1%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%97%E3%83%AD%E3%83%86%E3%82%AF%E3%83%88-R-01-%E3%83%A9%E3%82%AF%E3%82%B7%E3%83%BC%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB-%E6%B6%88%E7%81%AB%E7%94%A8%E5%85%B7/dp/B01D43T5CI,6
防災セット 一人用 5年保証 【防災士厳選36種39点】,最優先で用意しておくべき用品が揃っており、緊急避難用品の充実度はかなり高いです。また胸元にチェストベルトがついているので激しい動きでもずれにくい点も魅力。,import-garden:10002620,https://www.amazon.co.jp/Defend-Future-%E3%83%80%E3%82%A4%E3%83%8A%E3%83%A2%E3%83%A9%E3%82%B8%E3%82%AA%E3%83%A9%E3%82%A4%E3%83%88-%E5%9B%BD%E5%86%85%E7%94%9F%E7%94%A3%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E7%B1%B3%E3%83%BB%E4%BF%9D%E5%AD%98%E6%B0%B4-DD-EK01RLF/dp/B07B3QQB8C,6
救急セット ファーストエイドキット,災害などいざという時の怪我の際に、素早く応急手当てができる物が揃っているセットです。サイズが小さく、軽くて丈夫です。持ち運びも大変便利です。,idealife:10000126,https://www.amazon.co.jp/dp/B07GFC7G3G?tag=mybest_presses_946-22,6
防災セット 一人用 5年保証 【防災士厳選36種39点】,最優先で用意しておくべき用品が揃っており、緊急避難用品の充実度はかなり高いです。また胸元にチェストベルトがついているので激しい動きでもずれにくい点も魅力。,import-garden:10002620,https://www.amazon.co.jp/Defend-Future-%E3%83%80%E3%82%A4%E3%83%8A%E3%83%A2%E3%83%A9%E3%82%B8%E3%82%AA%E3%83%A9%E3%82%A4%E3%83%88-%E5%9B%BD%E5%86%85%E7%94%9F%E7%94%A3%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E7%B1%B3%E3%83%BB%E4%BF%9D%E5%AD%98%E6%B0%B4-DD-EK01RLF/dp/B07B3QQB8C,7
車載用防災セット 17点,運転中に被災してしまった場合に役に立つセットです。長時間車の中で過ごす場合に起こる問題に対応します。座席下に収納できるコンパクトサイズです。,kurashido:10000240,https://www.amazon.co.jp/%E5%B2%B8%E7%94%B0%E7%94%A3%E6%A5%AD-%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%83%E3%83%88-%E3%83%8F%E3%83%B3%E3%83%9E%E3%83%BC%E4%BB%98%E3%81%8D-%E6%90%BA%E5%B8%AF%E3%83%88%E3%82%A4%E3%83%AC-%EF%BC%8910-450N/dp/B07XQ19RGV/ref=sr_1_6?keywords=%E8%BB%8A%E8%BC%89%E7%94%A8%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%83%E3%83%88&qid=1663057405&sr=8-6,7
防災セット 中身だけ 2人用,災害に備えたいけど、何が必要かわからない、リュックはある方向けの防災セットです。本当に必要な物だけが揃っています。安心の7年長期保存可能。,kurashido:10000190,https://www.amazon.co.jp/%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%83%E3%83%88-%E5%85%85%E5%AE%9F%E3%81%AE21%E7%A8%AE%E9%A1%9E%E3%82%BB%E3%83%83%E3%83%88-%E9%95%B7%E6%9C%9F%E4%BF%9D%E5%AD%98%E3%81%A7%E3%81%8D%E3%82%8B%E6%B0%B4%E3%81%A8%E9%A3%9F%E5%93%81%E4%BB%98%E3%81%8D-%E7%81%BD%E5%AE%B3%E5%AF%BE%E7%AD%96%E3%82%84%E9%81%BF%E9%9B%A3%E7%94%A8%E3%81%AB-8-1200N/dp/B07TV9WWPG,7
