総合危険度ランク,火災危険度ランク,建物倒壊危険度ランク,災害時活動困難度ランク,町丁目名
1,1,1,2,316
1,1,1,1,317
1,1,1,1,318
1,1,1,3,319
2,1,1,3,320
2,1,1,3,321
1,1,1,1,322
1,1,1,3,323
1,1,1,1,324
1,1,1,1,325
1,1,1,2,326
1,1,1,2,327
1,1,1,2,328
1,1,1,1,329
1,1,1,1,330
3,2,2,2,331
4,4,3,4,332
3,3,2,4,333
1,1,1,2,334
2,2,2,2,335
1,1,1,1,336
1,1,2,1,337
2,1,2,2,338
2,1,1,2,339
1,1,1,1,340
2,1,1,4,341
1,1,1,1,342
2,1,1,4,343
1,1,1,1,344
1,1,1,1,345
2,1,1,2,346
2,2,2,1,347
1,1,2,1,348
1,1,1,3,349
1,1,1,2,350
1,1,1,3,351
1,1,1,1,352
2,2,2,2,353
3,2,3,2,354
2,2,2,2,355
2,2,2,1,356
2,2,2,1,357
3,2,2,3,358
3,3,2,3,359
1,1,1,2,360
3,2,3,2,361
1,1,1,1,362
1,1,2,1,363
3,2,2,3,364
4,3,3,3,365
3,3,3,2,366
3,3,3,3,367
4,3,3,3,368
1,2,2,1,369
1,1,2,1,370
1,1,1,1,371
2,2,2,2,372
3,3,2,3,373
4,4,3,4,374
3,3,2,2,375
2,2,2,3,376
3,2,2,3,377
3,3,2,4,378
1,1,2,1,379
2,1,1,3,380
2,1,1,2,381
2,2,3,1,382
3,3,3,3,383
2,1,2,3,384
3,1,2,3,385
1,1,1,2,386
2,1,1,2,387
2,1,1,3,388
2,2,2,3,389
3,2,2,3,390
1,1,1,1,391
2,2,2,2,392
1,1,2,1,393
1,1,1,1,394
1,1,2,1,395
1,1,1,1,396
2,1,1,2,397
1,1,1,1,398
2,2,2,3,399
3,2,2,3,400
2,2,2,1,401
3,3,3,4,402
2,2,2,1,403
2,2,2,2,404
3,2,3,2,405
3,2,2,3,406
2,2,2,2,407
1,1,2,1,408
2,2,2,3,409
2,1,2,1,410
2,1,2,2,411
1,1,1,1,412
2,3,3,1,413
1,1,1,1,414
1,1,1,2,415
3,3,3,3,416
3,2,2,3,417
2,2,2,2,418
2,2,2,3,419
2,3,2,2,420
3,2,2,3,421
3,3,2,3,422
2,1,2,3,423
2,1,2,1,424
1,2,2,1,425
2,2,2,1,426
1,2,2,1,427
1,2,2,1,428
2,1,2,1,429
1,1,1,1,430
1,1,1,1,431
1,1,1,1,432
2,2,2,3,433
3,3,2,2,434
1,1,1,1,435
1,1,1,1,436
2,2,2,3,437
2,1,2,2,438
2,2,2,2,439
2,2,2,2,440
3,2,2,3,441
2,1,1,3,442
3,3,3,2,443
3,3,3,2,444
3,3,2,3,445
2,2,3,1,446
1,1,3,1,447
1,1,1,1,448
2,2,2,3,449
2,1,2,2,450
1,1,2,1,451
1,1,1,1,452
3,2,2,3,453
3,2,3,2,454
3,3,2,2,455
1,2,2,1,456
4,3,3,4,457
2,2,1,3,458
2,2,2,2,459
2,1,2,2,460
2,2,2,1,461
3,2,2,3,462
4,3,3,4,463
3,3,2,2,464
1,1,1,1,465
1,1,1,1,466
1,1,1,1,467
2,2,2,2,468
3,2,2,3,469
4,3,3,3,470
5,4,5,3,471
2,2,2,2,472
3,1,2,4,473
1,1,2,1,474
4,3,3,3,475
1,1,2,1,476
2,2,2,2,477
1,1,1,1,478
2,1,1,3,479
3,3,2,3,480
2,1,1,3,481
1,1,1,1,482
1,1,1,3,483
2,1,1,3,484
1,1,1,1,485
3,3,3,2,486
3,2,2,3,487
4,4,3,4,488
2,1,2,2,489
2,1,2,2,490
1,1,1,1,491
2,1,1,2,492
2,1,2,1,493
2,2,2,2,494
3,2,2,3,495
2,1,1,2,496
1,1,2,1,497
1,1,1,1,498
2,2,2,1,499
2,1,2,4,500
3,2,2,4,501
4,2,3,5,502
2,1,2,2,503
2,1,2,2,504
2,2,3,1,505
1,1,2,1,506
1,1,1,3,507
2,1,1,2,508
3,3,3,3,509
3,2,2,3,510
2,2,2,2,511
2,3,3,1,512
3,3,2,3,513
4,3,3,3,514
3,3,3,2,515
2,3,3,1,516
4,4,3,3,517
2,1,2,2,518
3,2,2,3,519
2,2,2,2,520
4,4,4,2,521
3,2,3,2,522
3,2,2,2,523
3,2,3,3,524
3,3,2,4,525
2,1,2,2,526
3,2,2,2,527
3,2,2,3,528
3,2,2,2,529
1,2,2,1,530
1,2,2,1,531
1,1,1,1,532
1,1,1,1,533
1,1,2,1,534
1,1,1,1,535
2,2,2,1,536
3,2,2,2,537
3,2,2,2,538
1,1,1,2,539
3,2,2,2,540
2,2,2,2,541
2,2,1,3,542
2,3,2,2,543
3,2,2,3,544
1,2,1,1,545
2,1,1,2,546
1,1,1,1,547
1,1,2,1,548
1,1,2,1,549
2,1,1,2,550
1,2,2,1,551
1,3,4,1,552
3,2,4,1,553
1,3,5,1,554
1,3,5,1,555
1,4,5,1,556
1,3,4,1,557
1,1,3,1,558
1,2,3,1,559
1,3,5,1,560
1,3,4,1,561
1,3,4,1,562
1,2,3,1,563
1,1,1,2,564
2,1,2,1,565
3,3,3,2,566
2,3,3,1,567
2,2,4,1,568
2,3,5,1,569
1,3,4,1,570
1,3,4,1,571
1,2,3,1,572
1,2,2,1,573
1,2,3,1,574
1,2,3,1,575
1,2,3,1,576
1,2,4,1,577
1,1,2,1,578
1,1,1,1,579
